linha_origem,matricula_raw,nome_raw,cpf_raw,orgao_raw,erros
346,GO0001345,Fernanda Ferreira,655.322.432-11,PGE,cpf_duplicado:primeira_ocorrencia_linha_241
350,GO0001282,Simone Melo,033.493.601-43,PGE,matricula_duplicada:primeira_ocorrencia_linha_283
374,GO0001354,Larissa Teixeira,028.088.051-13,PGE,matricula_duplicada:primeira_ocorrencia_linha_355
375,GO0001167,Daniela Araújo,663.572.117-04,PGE,matricula_duplicada:primeira_ocorrencia_linha_168
377,GO0001376,Ricardo Santos,429.552.783-32,PGE,cpf_duplicado:primeira_ocorrencia_linha_23
379,GO0001378,Patrícia Campos,,PGE ,"{'cpf': 'cpf_nulo', 'email': 'email_invalido:patrícia.campos@pge.go.gov.br'}"
390,GO0001100,Larissa Teixeira,031.142.310-57,PGE,matricula_duplicada:primeira_ocorrencia_linha_101
397,GO0001396,Vanessa Castro,,PGE,{'cpf': 'cpf_nulo'}
412,GO0001411,Rodrigo Melo,433.815.391-93,PGE,cpf_duplicado:primeira_ocorrencia_linha_389
420,GO0001419,Camila Lima,,PGE ,"{'cpf': 'cpf_nulo', 'data_admissao': 'data_admissao_nulo'}"
459,GO0001458,Rodrigo Ribeiro,632.929.099-45,PGE,cpf_duplicado:primeira_ocorrencia_linha_95
475,GO0001474,Simone Cardoso,241.897.569-04,PGE,cpf_duplicado:primeira_ocorrencia_linha_122
486,GO0001023,Renata Borges,327.606.663-29,PGE,matricula_duplicada:primeira_ocorrencia_linha_24
497,GO0001089,Fernanda Rocha,919.093.813-96,PGE,matricula_duplicada:primeira_ocorrencia_linha_90
524,GO0001523,Lucas Nascimento,451.285.545-20,PGE,cpf_duplicado:primeira_ocorrencia_linha_474
545,GO0001544,Tatiane Almeida,739.962.092-66,PGE,cpf_duplicado:primeira_ocorrencia_linha_307
583,GO0001120,Gustavo Oliveira,805.821.474-97,SEAD,matricula_duplicada:primeira_ocorrencia_linha_121
593,GO0001592,Thiago Nunes,826.930.276-21,SEAD,cpf_duplicado:primeira_ocorrencia_linha_50
599,GO0001158,Henrique Campos,778.323.190-68,SEAD,matricula_duplicada:primeira_ocorrencia_linha_159
626,GO0001625,Aline Nunes,366.762.035-92,SEAD,cpf_duplicado:primeira_ocorrencia_linha_381
643,GO0001471,Beatriz Dias,778.393.094-14,SEAD,matricula_duplicada:primeira_ocorrencia_linha_472
644,GO0001643,Rodrigo Melo,893.918.983-80,SEAD,cpf_duplicado:primeira_ocorrencia_linha_201
663,GO0001662,Larissa Almeida,223.122.958-61,SEAD,cpf_duplicado:primeira_ocorrencia_linha_88
672,GO0001671,Renata Nunes,096.033.080-36,SEAD,cpf_duplicado:primeira_ocorrencia_linha_463
681,GO0001680,  Ana Pereira  ,,SEAD ,{'cpf': 'cpf_nulo'}
684,GO0001143,Rodrigo Melo,373.177.608-45,SEAD,matricula_duplicada:primeira_ocorrencia_linha_144
703,GO0001702,Beatriz Melo,,SEAD ,"{'cpf': 'cpf_nulo', 'sexo': 'sexo_nulo'}"
706,GO0001705,Rodrigo Araújo,305.709.872-87,SEAD,cpf_duplicado:primeira_ocorrencia_linha_562
709,GO0001708,Marcos Ferreira,192.868.701-31,SEAD,cpf_duplicado:primeira_ocorrencia_linha_553
715,GO0001189,Ricardo Carvalho,261.845.265-22,SEAD,matricula_duplicada:primeira_ocorrencia_linha_190
720,GO0001719,Rodrigo Souza,,Sead,{'cpf': 'cpf_nulo'}
725,GO0001724,Pedro Araújo,680.336.421-34,SEAD,cpf_duplicado:primeira_ocorrencia_linha_318
739,GO0001738,Ana Rocha,,Sead,{'cpf': 'cpf_nulo'}
742,GO0001741,Alexandre Dias,,Sead,{'cpf': 'cpf_nulo'}
775,GO0001025,Diego Dias,597.670.897-89,SEAD,matricula_duplicada:primeira_ocorrencia_linha_26
776,GO0001198,Marcos Martins,418.940.861-71,SEAD,matricula_duplicada:primeira_ocorrencia_linha_199
780,GO0001779,Rodrigo Moreira,,Sead,"{'cpf': 'cpf_nulo', 'sexo': 'sexo_nulo', 'data_admissao': 'data_admissao_nulo'}"
782,GO0001781,Felipe Teixeira,313.391.885-73,SEAD,cpf_duplicado:primeira_ocorrencia_linha_556
788,GO0001456,Simone Barbosa,287.556.786-02,SEAD,matricula_duplicada:primeira_ocorrencia_linha_457
789,GO0001788,Aline Cardoso,,SEAD,"{'cpf': 'cpf_nulo', 'email': 'email_invalido:aline.cardoso@@sead.go.gov.br'}"
796,GO0001795,Larissa Cavalcanti,889.467.171-94,SEAD,cpf_duplicado:primeira_ocorrencia_linha_726
803,GO0001802,Larissa Campos,,Sead,{'cpf': 'cpf_nulo'}
805,GO0001804,Carlos Campos,513.275.446-86,SEAD,cpf_duplicado:primeira_ocorrencia_linha_407
811,GO0001810,Leandro Cardoso,715.723.507-27,SEAD,cpf_duplicado:primeira_ocorrencia_linha_656
812,GO0001212,Ana Lima,033.851.239-07,SEAD,matricula_duplicada:primeira_ocorrencia_linha_213
820,GO0001819,Vinicius Pereira,859.837.305-72,SEAD,cpf_duplicado:primeira_ocorrencia_linha_386
843,GO0001842,Henrique Santos,, SEAD,{'cpf': 'cpf_nulo'}
850,GO0001024,Beatriz Moreira,,SEAD ,{'cpf': 'cpf_nulo'}
864,GO0001863,Alexandre Souza,,SEAD,"{'cpf': 'cpf_nulo', 'data_nascimento': 'data_nascimento_nulo'}"
870,GO0001869,Juliana Santos,847.151.140-57,SEAD,cpf_duplicado:primeira_ocorrencia_linha_16
883,GO0001350,Marcos Costa,784.025.999-44,SEAD,matricula_duplicada:primeira_ocorrencia_linha_351
903,GO0001902,Cristina Dias,471.010.653-50,SEAD,cpf_duplicado:primeira_ocorrencia_linha_557
905,GO0001904,Henrique Gomes,,Sead,"{'cpf': 'cpf_nulo', 'data_nascimento': 'data_nascimento_nulo'}"
947,GO0001946,Camila Cavalcanti,991.864.192-88,SEAD,cpf_duplicado:primeira_ocorrencia_linha_551
953,GO0001511,Larissa Nunes,963.890.926-32,SEAD,matricula_duplicada:primeira_ocorrencia_linha_512
958,GO0001010,Diego Nascimento,459.726.879-16,SEAD,matricula_duplicada:primeira_ocorrencia_linha_11
959,GO0001958,Tatiane Dias,,SEAD ,{'cpf': 'cpf_nulo'}
1002,GO0002001,Daniela Borges,277.790.883-06,SEAD,cpf_duplicado:primeira_ocorrencia_linha_808
1005,GO0002004,Carlos Rodrigues,240.957.884-10,SEAD,cpf_duplicado:primeira_ocorrencia_linha_280
1017,GO0001333,Daniela Carvalho,981.083.016-96,SEAD,matricula_duplicada:primeira_ocorrencia_linha_334
1021,GO0001475,Priscila Campos,392.405.065-21,SEAD,matricula_duplicada:primeira_ocorrencia_linha_476
1025,GO0001264,Alexandre Teixeira,305.542.456-89,SEAD,matricula_duplicada:primeira_ocorrencia_linha_265
1037,GO0001845,Sandra Costa,392.569.353-61,SEAD,matricula_duplicada:primeira_ocorrencia_linha_846
1055,GO0002054,Vinicius Santos,421.322.849-84,SEAD,cpf_duplicado:primeira_ocorrencia_linha_771
1060,GO0001696,Beatriz Moura,705.919.882-01,SEAD,matricula_duplicada:primeira_ocorrencia_linha_697
1064,GO0002063,Thiago Melo,682.318.366-75,SEAD,cpf_duplicado:primeira_ocorrencia_linha_792
1114,GO0002113,Pedro Barbosa,,SEAD,{'cpf': 'cpf_nulo'}
1131,GO0002130,Cristina Nascimento,522.474.396-61,SEAD,cpf_duplicado:primeira_ocorrencia_linha_126
1133,GO0002132,Tatiane Melo,276.336.248-79,SEAD,cpf_duplicado:primeira_ocorrencia_linha_419
1134,GO0002133,Larissa Campos,,SEAD ,"{'cpf': 'cpf_nulo', 'data_admissao': 'data_admissao_nulo'}"
1155,GO0002154,Ricardo Borges,865.117.331-56,SEAD,cpf_duplicado:primeira_ocorrencia_linha_65
1161,GO0002160,Daniela Almeida,,SEAD,{'cpf': 'cpf_nulo'}
1169,GO0002168,Cristina Teixeira,, SEAD,"{'cpf': 'cpf_nulo', 'sexo': 'sexo_nulo'}"
1192,GO0002191,Patrícia Campos,,Sead,"{'cpf': 'cpf_nulo', 'email': 'email_invalido:patrícia.campos@sead.go.gov.br'}"
1193,GO0002192,Eduardo Dias,,SEAD,{'cpf': 'cpf_nulo'}
1197,GO0002196,Leandro Monteiro,,Sead,{'cpf': 'cpf_nulo'}
1230,GO0002229,Thiago Moreira,665.602.760-47,SEAD,cpf_duplicado:primeira_ocorrencia_linha_228
1251,GO0002250,Marcos Costa,950.936.098-11,SEAD,cpf_duplicado:primeira_ocorrencia_linha_647
1276,GO0002275,Maria Castro,419.818.239-27,SEAD,cpf_duplicado:primeira_ocorrencia_linha_226
1314,GO0002313,João Nunes,432.257.403-96,SEAD,cpf_duplicado:primeira_ocorrencia_linha_1141
1317,GO0002316,Eduardo Moura,154.306.529-85,SEAD,cpf_duplicado:primeira_ocorrencia_linha_130
1318,GO0001386,Cristina Santos,445.678.239-54,SEAD,matricula_duplicada:primeira_ocorrencia_linha_387
1323,GO0002322,Alexandre Almeida,533.987.181-61,SEAD,cpf_duplicado:primeira_ocorrencia_linha_190
1332,GO0001596,Carlos Ribeiro,926.070.950-42,SEAD,cpf_duplicado:primeira_ocorrencia_linha_1107
1345,GO0002344,Sandra Cavalcanti,301.356.940-54,SEAD,cpf_duplicado:primeira_ocorrencia_linha_1057
1363,GO0002362,Tatiane Ribeiro,,SEAD,"{'cpf': 'cpf_nulo', 'email': 'email_invalido:@sead.go.gov.br'}"
1382,GO0002381,Felipe Moura,,sead,{'cpf': 'cpf_nulo'}
1387,GO0002386,Vinicius Costa,,Sead,"{'cpf': 'cpf_nulo', 'email': 'email_invalido:@sead.go.gov.br'}"
1407,GO0002406,Ricardo Cardoso,,SEAD,{'cpf': 'cpf_nulo'}
1414,GO0002413,Maria Oliveira,998.191.658-74,SEAD,cpf_duplicado:primeira_ocorrencia_linha_752
1432,GO0002431,Ricardo Costa,293.718.109-60,SEAD,cpf_duplicado:primeira_ocorrencia_linha_339
1440,GO0002439,Felipe Castro,842.267.143-70,SEAD,cpf_duplicado:primeira_ocorrencia_linha_659
1448,GO0002447,Patrícia Ferreira,,Sead,"{'cpf': 'cpf_nulo', 'email': 'email_invalido:patrícia.ferreira@sead.go.gov.br'}"
1450,GO0002449,Simone Melo,741.208.773-47,SEAD,cpf_duplicado:primeira_ocorrencia_linha_29
1463,GO0002462,Diego Castro,,Sead,{'cpf': 'cpf_nulo'}
1464,GO0002463,Alexandre Souza,704.339.546-35,SEAD,cpf_duplicado:primeira_ocorrencia_linha_940
1471,GO0002470,Eduardo Santos,,sead,{'cpf': 'cpf_nulo'}
1473,GO0002472,Bruno Melo,444.969.329-14,SEAD,cpf_duplicado:primeira_ocorrencia_linha_1128
1478,GO0002477,Patrícia Castro,899.202.668-88,SEAD,cpf_duplicado:primeira_ocorrencia_linha_555
1490,GO0002489,Lucas Rodrigues,,sead,{'cpf': 'cpf_nulo'}
1497,GO0002496,aline silva,,SEAD,{'cpf': 'cpf_nulo'}
1501,GO0002500,Henrique Souza,148.143.003-63,SEAD,cpf_duplicado:primeira_ocorrencia_linha_1413
1506,GO0002505,Aline Campos,,Sead,"{'cpf': 'cpf_nulo', 'sexo': 'sexo_nulo'}"
1537,GO0002536,Tatiane Borges,,sead,"{'cpf': 'cpf_nulo', 'data_nascimento': 'data_nascimento_nulo'}"
1545,GO0002544,Marcos Ferreira,480.671.634-03,SEAD,cpf_duplicado:primeira_ocorrencia_linha_773
1548,GO0002547,Tatiane Araújo,212.233.189-04,SEAD,cpf_duplicado:primeira_ocorrencia_linha_1010
1554,GO0001395,Bruno Cardoso,094.178.333-06,SEAD,matricula_duplicada:primeira_ocorrencia_linha_396
1557,GO0002021,Vanessa Cavalcanti,510.305.258-34,SEAD,matricula_duplicada:primeira_ocorrencia_linha_1022
1586,GO0002585,Marcos Ribeiro,783.383.735-01,SEAD,cpf_duplicado:primeira_ocorrencia_linha_834
1588,GO0002587,Sandra Moura,845.481.994-29,SEAD,cpf_duplicado:primeira_ocorrencia_linha_1110
1595,GO0002594,Rodrigo Souza,110.928.567-94,SEAD,cpf_duplicado:primeira_ocorrencia_linha_1561
1598,GO0002597,Cristina Almeida,768.027.741-41,SEAD,cpf_duplicado:primeira_ocorrencia_linha_1401
1606,GO0002605,Felipe Castro,172.122.201-20,SEAD,cpf_duplicado:primeira_ocorrencia_linha_427
1618,GO0002617,Fernanda Dias,318.687.406-20,SEAD,cpf_duplicado:primeira_ocorrencia_linha_1073
1621,GO0001125,Diego Martins,376.111.568-99,SEAD,matricula_duplicada:primeira_ocorrencia_linha_126
1634,GO0001799,Pedro Nascimento,961.830.843-54,SEAD,matricula_duplicada:primeira_ocorrencia_linha_800
1640,GO0002639,Diego Martins,948.596.845-81,SEAD,cpf_duplicado:primeira_ocorrencia_linha_465
1642,GO0002433,Fernanda Dias,252.207.299-79,SEAD,matricula_duplicada:primeira_ocorrencia_linha_1434
1661,GO0002532,Renata Carvalho,767.136.990-21,SEAD,matricula_duplicada:primeira_ocorrencia_linha_1533
1665,GO0002664,Diego Gomes,948.596.845-81,SEAD,cpf_duplicado:primeira_ocorrencia_linha_465
1682,GO0001918,Tatiane Dias,230.279.765-95,SEAD,matricula_duplicada:primeira_ocorrencia_linha_919
1692,GO0002691,Bruno Silva,,SEAD,{'cpf': 'cpf_nulo'}
1696,GO0002695,Aline Araújo,658.282.295-20,SEAD,cpf_duplicado:primeira_ocorrencia_linha_1611
1743,GO0002742,Thiago Lima,180.438.519-68,SEAD,cpf_duplicado:primeira_ocorrencia_linha_192
1753,GO0002752,Sandra Campos,,sead,{'cpf': 'cpf_nulo'}
1765,GO0002764,Priscila Martins,783.904.402-16,SEAD,cpf_duplicado:primeira_ocorrencia_linha_569
1776,GO0002775,Vinicius Barbosa,, SEAD,{'cpf': 'cpf_nulo'}
1803,GO0002802,Leandro Nunes,322.534.635-76,SEAD,cpf_duplicado:primeira_ocorrencia_linha_399
1821,GO0002820,João Melo,865.535.895-78,SEAD,cpf_duplicado:primeira_ocorrencia_linha_501
1825,GO0002824,Vanessa Gomes,386.095.731-12,SEAD,cpf_duplicado:primeira_ocorrencia_linha_846
1831,GO0001286,Larissa Pereira,843.660.617-51,SEAD,matricula_duplicada:primeira_ocorrencia_linha_287
1835,GO0002834,João Ferreira,285.370.621-34,SEAD,cpf_duplicado:primeira_ocorrencia_linha_336
1836,GO0002835,Gustavo Moura,274.532.990-98,SEAD,cpf_duplicado:primeira_ocorrencia_linha_1204
1858,GO0002372,Juliana Almeida,580.906.152-82,SEAD,matricula_duplicada:primeira_ocorrencia_linha_1373
1859,GO0001720,Felipe Teixeira,360.835.778-06,SEAD,matricula_duplicada:primeira_ocorrencia_linha_721
1863,GO0002862,Bruno Moreira,850.851.395-44,SEAD,cpf_duplicado:primeira_ocorrencia_linha_1162
1865,GO0002864,Felipe Castro,584.786.048-44,SEAD,cpf_duplicado:primeira_ocorrencia_linha_1476
1885,GO0002884,  Felipe Ribeiro  ,,SEAD ,{'cpf': 'cpf_nulo'}
1898,GO0001931,Daniela Castro,794.580.731-40,SEAD,matricula_duplicada:primeira_ocorrencia_linha_932
1901,GO0002584,Henrique Almeida,,Sead,{'cpf': 'cpf_nulo'}
1922,GO0002921,Aline Carvalho,450.032.475-99,SEAD,cpf_duplicado:primeira_ocorrencia_linha_411
1927,GO0002926,Ricardo Cavalcanti,137.722.619-77,SEAD,cpf_duplicado:primeira_ocorrencia_linha_1457
1942,GO0002941,Fernanda Souza,978.884.527-29,SEAD,cpf_duplicado:primeira_ocorrencia_linha_1850
1957,GO0002956,Diego Teixeira,417.476.669-12,SEAD,cpf_duplicado:primeira_ocorrencia_linha_701
1964,GO0002963,Rafael Ribeiro,788.153.002-98,SEAD,cpf_duplicado:primeira_ocorrencia_linha_751
1976,GO0002975,Lucas Cavalcanti,938.902.167-03,SEAD,cpf_duplicado:primeira_ocorrencia_linha_565
1984,GO0002983,Carlos Pereira,,SEAD ,{'cpf': 'cpf_nulo'}
1988,GO0002987,Bruno Rocha,546.366.939-90,SEAD,cpf_duplicado:primeira_ocorrencia_linha_1143
1991,GO0002990,Maria Ferreira,205.219.613-27,SEAD,cpf_duplicado:primeira_ocorrencia_linha_426
1993,GO0002372,Felipe Melo,039.048.147-08,SEAD,matricula_duplicada:primeira_ocorrencia_linha_1373
1995,GO0002936,Leandro Rodrigues,017.654.364-51,SEAD,matricula_duplicada:primeira_ocorrencia_linha_1937
1996,GO0002995,Aline Cardoso,742.196.809-42,SEAD,cpf_duplicado:primeira_ocorrencia_linha_342
1999,GO0002998,Vanessa Lima,129.441.551-21,SEAD,cpf_duplicado:primeira_ocorrencia_linha_1446
2009,GO0002687,Vinicius Castro,009.252.313-91,SEAD,matricula_duplicada:primeira_ocorrencia_linha_1688
2041,GO0003040,João Nunes,704.339.546-35,SEAD,cpf_duplicado:primeira_ocorrencia_linha_940
2044,GO0003043,Ana Araújo,, SEAD,"{'cpf': 'cpf_nulo', 'email': 'email_invalido:ana.araújo@sead.go.gov.br'}"
2047,GO0002589,João Rocha,489.867.874-49,SEAD,matricula_duplicada:primeira_ocorrencia_linha_1590
2053,GO0003052,Mônica Teixeira,515.469.927-36,SEAD,cpf_duplicado:primeira_ocorrencia_linha_1637
2059,GO0003058,Leandro Silva,,SEAD,{'cpf': 'cpf_nulo'}
2069,GO0003068,Juliana Pereira,239.718.613-19,SEAD,cpf_duplicado:primeira_ocorrencia_linha_1102
2076,GO0003075,Simone  Santos,,sead,"{'cpf': 'cpf_nulo', 'email': 'email_nulo'}"
2077,GO0003076,Rafael Nascimento,,Sead,{'cpf': 'cpf_nulo'}
2078,GO0003077,João Lima,656.822.314-03,SEAD,cpf_duplicado:primeira_ocorrencia_linha_401
2085,GO0003084,Leandro Borges,392.787.595-31,SEAD,cpf_duplicado:primeira_ocorrencia_linha_292
2087,GO0003086,Camila Costa,789.028.167-70,SEAD,cpf_duplicado:primeira_ocorrencia_linha_1124
2090,GO0003089,Renata Souza,, SEAD,{'cpf': 'cpf_nulo'}
2091,GO0003090,Lucas Campos,183.341.277-33,SEAD,cpf_duplicado:primeira_ocorrencia_linha_1049
2110,GO0002273,Simone Pereira,365.501.384-91,SEAD,matricula_duplicada:primeira_ocorrencia_linha_1274
2134,GO0001570,Vanessa Pereira,063.893.411-33,SEAD,matricula_duplicada:primeira_ocorrencia_linha_571
2159,GO0003158,Vinicius Campos,,SEAD ,{'cpf': 'cpf_nulo'}
2170,GO0003169,Simone Rocha,551.506.863-50,SEAD,cpf_duplicado:primeira_ocorrencia_linha_1878
2174,GO0003173,Fernanda Rodrigues,834.211.628-64,SEAD,cpf_duplicado:primeira_ocorrencia_linha_2072
2178,GO0003177,Beatriz Castro,370.112.526-81,SEAD,cpf_duplicado:primeira_ocorrencia_linha_1896
2183,GO0003182,Leandro Lima,,SEAD ,{'cpf': 'cpf_nulo'}
2200,GO0003199,Larissa Nunes,398.287.380-55,SEAD,cpf_duplicado:primeira_ocorrencia_linha_2061
2210,GO0003209,Vanessa Araújo,414.476.389-43,SEAD,cpf_duplicado:primeira_ocorrencia_linha_638
2243,GO0003242,  Juliana Pereira  ,, SEAD,{'cpf': 'cpf_nulo'}
2251,GO0003250,Alexandre Campos,,SEAD ,{'cpf': 'cpf_nulo'}
2254,GO0003253,João Barbosa,352.581.704-06,SEAD,cpf_duplicado:primeira_ocorrencia_linha_673
2266,GO0003265,Diego Carvalho,608.967.432-48,SEAD,cpf_duplicado:primeira_ocorrencia_linha_1837
2289,GO0002026,Carlos Nascimento,151.803.951-42,SEAD,matricula_duplicada:primeira_ocorrencia_linha_1027
2319,GO0002791,Priscila Lima,841.901.577-49,SEAD,matricula_duplicada:primeira_ocorrencia_linha_1792
2328,GO0002241,Eduardo Rocha,654.857.461-81,SEAD,matricula_duplicada:primeira_ocorrencia_linha_1242
2346,GO0003345,Cristina Ribeiro,,Sead,{'cpf': 'cpf_nulo'}
2349,GO0003348,João Ribeiro,,SEAD,"{'cpf': 'cpf_nulo', 'email': 'email_invalido:joão.ribeiro@sead.go.gov.br'}"
2360,GO0003359,Eduardo Oliveira,961.830.843-54,SEAD,cpf_duplicado:primeira_ocorrencia_linha_1634
2361,GO0003360,Aline Oliveira,038.812.050-28,SEAD,cpf_duplicado:primeira_ocorrencia_linha_247
2369,GO0003368,vanessa pereira,,Sead,{'cpf': 'cpf_nulo'}
2375,GO0003374,Alexandre Souza,963.890.926-32,SEAD,cpf_duplicado:primeira_ocorrencia_linha_953
2380,GO0003379,Leandro Rocha,,SEAD ,{'cpf': 'cpf_nulo'}
2383,GO0003382,Vanessa Araújo,428.595.368-09,SEAD,cpf_duplicado:primeira_ocorrencia_linha_27
2412,GO0003411,Lucas Rodrigues,, SEAD,"{'cpf': 'cpf_nulo', 'data_admissao': 'data_admissao_nulo'}"
2424,GO0003423,Simone Souza,013.436.438-48,SEAD,cpf_duplicado:primeira_ocorrencia_linha_476
2428,GO0003427,Sandra Barbosa,873.451.153-26,SEAD,cpf_duplicado:primeira_ocorrencia_linha_1077
2438,GO0003437,João Pereira,560.053.909-08,SEAD,cpf_duplicado:primeira_ocorrencia_linha_691
2441,GO0003440,  Ana Rodrigues  ,,SEAD ,{'cpf': 'cpf_nulo'}
2473,GO0003353,Rodrigo Pereira,615.438.209-03,SEAD,matricula_duplicada:primeira_ocorrencia_linha_2354
2482,GO0001383,Aline Moura,413.978.854-31,SEAD,matricula_duplicada:primeira_ocorrencia_linha_384
2487,GO0003486,Henrique Ferreira,826.701.940-93,SEAD,cpf_duplicado:primeira_ocorrencia_linha_936
2498,GO0003497,Gustavo Gomes,180.563.288-33,SEAD,cpf_duplicado:primeira_ocorrencia_linha_748
2500,GO0003499,Mônica Silva,941.599.422-46,SEAD,cpf_duplicado:primeira_ocorrencia_linha_2190
2507,GO0003506,rodrigo castro,,Sead,{'cpf': 'cpf_nulo'}
2513,GO0003512,Carlos Castro,705.202.891-60,SEAD,cpf_duplicado:primeira_ocorrencia_linha_946
2515,GO0002196,Larissa Costa,125.555.625-54,SEAD,matricula_duplicada:primeira_ocorrencia_linha_1707
2524,GO0003523,Pedro Rodrigues,,Sead,{'cpf': 'cpf_nulo'}
2535,GO0001253,Sandra Melo,239.866.055-12,SEAD,matricula_duplicada:primeira_ocorrencia_linha_254
2552,GO0003551,Camila Castro,216.344.030-93,SEAD,cpf_duplicado:primeira_ocorrencia_linha_2381
2553,GO0003552,Sandra Nunes,377.301.423-61,SEAD,cpf_duplicado:primeira_ocorrencia_linha_844
2572,GO0001966,Carlos Borges,159.276.182-77,SEAD,cpf_duplicado:primeira_ocorrencia_linha_1337
2575,GO0002091,Marcos Santos,707.764.259-38,SEAD,matricula_duplicada:primeira_ocorrencia_linha_1092
2580,GO0003579,Maria  Santos,, SEAD,{'cpf': 'cpf_nulo'}
